,location,total_sqft,bath,price,BHK
81,6th Phase JP Nagar,1192,2.0,7400000,2
82,6th Phase JP Nagar,1180,2.0,8000000,2
83,6th Phase JP Nagar,3245,4.0,25000000,4
84,6th Phase JP Nagar,1645,3.0,10000000,3
85,6th Phase JP Nagar,1140,2.0,6500000,2
86,6th Phase JP Nagar,2040,3.0,20000000,3
87,6th Phase JP Nagar,1213,2.0,6300000,2
88,6th Phase JP Nagar,1216,2.0,6000000,2
89,6th Phase JP Nagar,1460,2.0,8000000,2
90,6th Phase JP Nagar,2003,3.0,20000000,3
91,6th Phase JP Nagar,1810,3.0,13100000,3
92,6th Phase JP Nagar,1515,2.0,13500000,3
93,6th Phase JP Nagar,1192,2.0,7500000,2
94,6th Phase JP Nagar,1280,2.0,8800000,2
95,7th Phase JP Nagar,1080,2.0,7200000,2
96,7th Phase JP Nagar,1270,2.0,9300000,2
97,7th Phase JP Nagar,1420,2.0,10000000,3
98,7th Phase JP Nagar,1850,3.0,15000000,3
99,7th Phase JP Nagar,1245,2.0,9400000,2
100,7th Phase JP Nagar,1175,2.0,8200000,2
101,7th Phase JP Nagar,1400,2.0,9500000,3
102,7th Phase JP Nagar,2225,3.0,16000000,3
103,7th Phase JP Nagar,1050,2.0,7100000,2
104,7th Phase JP Nagar,1100,2.0,4600000,2
105,7th Phase JP Nagar,918,2.0,5049000,2
106,7th Phase JP Nagar,1450,2.0,10000000,3
107,7th Phase JP Nagar,1190,2.0,4998000,2
108,7th Phase JP Nagar,1420,2.0,9600000,3
109,7th Phase JP Nagar,1680,3.0,12000000,3
110,7th Phase JP Nagar,980,2.0,6900000,2
111,7th Phase JP Nagar,1180,2.0,7200000,2
115,7th Phase JP Nagar,1400,3.0,11500000,3
116,7th Phase JP Nagar,1270,2.0,8300000,2
118,7th Phase JP Nagar,2503,4.0,18800000,4
119,7th Phase JP Nagar,2200,3.0,19000000,3
122,7th Phase JP Nagar,1575,2.0,11000000,3
123,7th Phase JP Nagar,1850,3.0,14000000,3
124,7th Phase JP Nagar,1575,2.0,12000000,3
125,7th Phase JP Nagar,1850,3.0,15000000,3
126,7th Phase JP Nagar,1680,3.0,12000000,3
127,7th Phase JP Nagar,1175,2.0,8250000,2
129,7th Phase JP Nagar,1215,2.0,9000000,2
130,7th Phase JP Nagar,1050,2.0,7500000,2
131,7th Phase JP Nagar,1300,3.0,8913000,3
132,7th Phase JP Nagar,1130,2.0,7300000,2
133,7th Phase JP Nagar,1450,3.0,10000000,3
135,7th Phase JP Nagar,1050,2.0,5000000,2
136,7th Phase JP Nagar,1275,2.0,8700000,2
138,7th Phase JP Nagar,1650,3.0,11000000,3
139,7th Phase JP Nagar,850,2.0,4200000,2
140,7th Phase JP Nagar,1680,3.0,11700000,3
141,7th Phase JP Nagar,1850,3.0,15000000,3
142,7th Phase JP Nagar,1236,2.0,6133000,2
143,7th Phase JP Nagar,1000,2.0,5300000,2
144,7th Phase JP Nagar,1680,3.0,12500000,3
145,7th Phase JP Nagar,1675,2.0,13500000,3
146,7th Phase JP Nagar,1187,2.0,5900000,2
147,7th Phase JP Nagar,1850,3.0,15500000,3
148,7th Phase JP Nagar,1000,2.0,6100000,2
149,7th Phase JP Nagar,1460,2.0,10000000,3
150,7th Phase JP Nagar,1650,3.0,11000000,3
151,7th Phase JP Nagar,1200,2.0,6250000,2
152,7th Phase JP Nagar,1000,2.0,7065000,2
153,7th Phase JP Nagar,1080,2.0,7500000,2
155,7th Phase JP Nagar,1680,3.0,12500000,3
156,7th Phase JP Nagar,1460,2.0,9700000,3
157,7th Phase JP Nagar,1120,2.0,6500000,2
158,7th Phase JP Nagar,1100,3.0,6000000,2
159,7th Phase JP Nagar,1790,3.0,12000000,3
160,7th Phase JP Nagar,1680,3.0,11700000,3
161,7th Phase JP Nagar,1050,2.0,7700000,2
162,7th Phase JP Nagar,1050,2.0,7500000,2
163,7th Phase JP Nagar,1040,2.0,7500000,2
164,7th Phase JP Nagar,1400,2.0,9500000,3
165,7th Phase JP Nagar,1800,3.0,13000000,3
166,7th Phase JP Nagar,1050,2.0,6800000,2
167,7th Phase JP Nagar,1000,2.0,6000000,2
168,7th Phase JP Nagar,1680,3.0,12500000,3
169,7th Phase JP Nagar,1050,2.0,7747000,2
170,7th Phase JP Nagar,1270,2.0,8000000,2
172,7th Phase JP Nagar,1680,3.0,12200000,3
173,7th Phase JP Nagar,1130,2.0,8500000,2
174,7th Phase JP Nagar,1680,3.0,13000000,3
175,7th Phase JP Nagar,980,2.0,7744000,2
176,7th Phase JP Nagar,1680,3.0,11200000,3
178,7th Phase JP Nagar,2095,3.0,15000000,3
179,7th Phase JP Nagar,1976,3.0,14500000,3
180,7th Phase JP Nagar,1600,2.0,11000000,3
181,7th Phase JP Nagar,1765,3.0,11800000,3
182,7th Phase JP Nagar,1275,2.0,8800000,3
183,7th Phase JP Nagar,1450,2.0,10200000,3
184,7th Phase JP Nagar,1575,2.0,11000000,3
186,7th Phase JP Nagar,750,1.0,4700000,1
187,7th Phase JP Nagar,990,2.0,5000000,2
189,7th Phase JP Nagar,1430,2.0,10200000,3
190,7th Phase JP Nagar,1128,2.0,6000000,2
191,7th Phase JP Nagar,1140,2.0,5700000,2
192,7th Phase JP Nagar,1420,3.0,9000000,3
193,7th Phase JP Nagar,1530,2.0,10800000,2
194,8th Phase JP Nagar,1042,2.0,5400500,2
195,8th Phase JP Nagar,451,1.0,2990000,1
197,8th Phase JP Nagar,1062,2.0,4247000,2
199,8th Phase JP Nagar,1455,3.0,7331000,3
200,8th Phase JP Nagar,871,2.0,5500000,2
201,8th Phase JP Nagar,1098,2.0,4391000,2
202,8th Phase JP Nagar,1800,3.0,8000000,3
203,8th Phase JP Nagar,2700,4.0,13000000,4
204,8th Phase JP Nagar,1080,2.0,3800000,2
205,8th Phase JP Nagar,1059,2.0,3450000,2
206,8th Phase JP Nagar,1080,2.0,3500000,2
208,8th Phase JP Nagar,1062,2.0,4247000,2
209,8th Phase JP Nagar,500,1.0,3100000,1
210,8th Phase JP Nagar,1100,2.0,3500000,2
211,8th Phase JP Nagar,2100,4.0,9200000,4
212,8th Phase JP Nagar,1035,2.0,3933000,2
213,8th Phase JP Nagar,909,2.0,4090000,2
214,8th Phase JP Nagar,1408,3.0,7202000,3
215,8th Phase JP Nagar,1900,4.0,9000000,3
216,8th Phase JP Nagar,500,1.0,3000000,1
217,8th Phase JP Nagar,1125,2.0,3694000,2
218,8th Phase JP Nagar,1100,2.0,3500000,2
219,8th Phase JP Nagar,1089,2.0,4355000,2
221,8th Phase JP Nagar,1504,2.0,8300000,3
222,8th Phase JP Nagar,2600,4.0,11500000,4
224,8th Phase JP Nagar,1089,2.0,4355000,2
226,8th Phase JP Nagar,1513,2.0,6200000,2
227,8th Phase JP Nagar,1298,2.0,5900000,2
228,8th Phase JP Nagar,1006,2.0,4400000,2
229,8th Phase JP Nagar,500,1.0,3300000,1
230,8th Phase JP Nagar,1160,2.0,9500000,2
231,8th Phase JP Nagar,1245,2.0,5900000,2
232,8th Phase JP Nagar,1510,2.0,8000000,2
233,8th Phase JP Nagar,1730,5.0,7500000,5
236,8th Phase JP Nagar,1046,2.0,4800000,2
238,8th Phase JP Nagar,1408,3.0,8000000,3
240,9th Phase JP Nagar,1005,2.0,5000000,2
242,9th Phase JP Nagar,1100,2.0,6500000,2
243,9th Phase JP Nagar,1080,2.0,3700000,2
244,9th Phase JP Nagar,1035,2.0,4500000,2
245,9th Phase JP Nagar,1164,2.0,5600000,2
246,9th Phase JP Nagar,1005,2.0,4200000,2
247,9th Phase JP Nagar,1127,2.0,5000000,2
248,9th Phase JP Nagar,1005,2.0,4300000,2
249,9th Phase JP Nagar,835,2.0,3700000,2
250,9th Phase JP Nagar,1050,2.0,3900000,2
251,9th Phase JP Nagar,660,2.0,2700000,2
252,9th Phase JP Nagar,600,1.0,2000000,1
253,9th Phase JP Nagar,1466,2.0,7100000,2
254,9th Phase JP Nagar,1890,2.0,9300000,3
255,9th Phase JP Nagar,1079,2.0,6000000,2
256,9th Phase JP Nagar,1480,2.0,8000000,2
257,9th Phase JP Nagar,1200,2.0,8000000,2
258,9th Phase JP Nagar,905,2.0,3200000,2
259,9th Phase JP Nagar,1073,2.0,5236000,2
260,9th Phase JP Nagar,1719,2.0,8800000,3
261,9th Phase JP Nagar,1780,3.0,8800000,3
263,9th Phase JP Nagar,1522,3.0,9000000,3
266,9th Phase JP Nagar,890,2.0,4500000,2
269,9th Phase JP Nagar,1050,2.0,3500000,2
270,9th Phase JP Nagar,1331,2.0,6900000,2
271,AECS Layout,1100,2.0,4500000,2
272,AECS Layout,1028,2.0,4200000,2
273,AECS Layout,1199,2.0,6500000,2
274,AECS Layout,1080,2.0,5500000,2
275,AECS Layout,1123,2.0,6400000,2
276,AECS Layout,1308,2.0,6000000,2
277,AECS Layout,1005,2.0,5500000,2
279,Abbigere,985,2.0,4039000,2
280,Abbigere,2200,6.0,6800000,6
281,Abbigere,765,2.0,3000000,1
282,Abbigere,880,2.0,3500000,2
283,Abbigere,795,2.0,3254000,2
284,Abbigere,1005,2.0,3959000,2
285,Abbigere,734,1.0,1982000,1
287,Abbigere,1020,2.0,4182000,2
288,Abbigere,985,2.0,4039000,2
289,Abbigere,2500,6.0,8100000,6
290,Abbigere,795,2.0,3254000,2
291,Abbigere,1130,2.0,4633000,2
292,Abbigere,795,1.0,3260000,2
293,Abbigere,3000,8.0,15000000,8
294,Abbigere,985,2.0,3892000,2
295,Abbigere,1000,2.0,4100000,2
296,Abbigere,995,2.0,4079999,2
297,Abbigere,1020,2.0,4079999,2
298,Akshaya Nagar,1388,2.0,5700000,2
299,Akshaya Nagar,1070,2.0,5400000,2
300,Akshaya Nagar,1280,2.0,5800000,2
301,Akshaya Nagar,1662,3.0,8510000,3
302,Akshaya Nagar,1897,3.0,12000000,3
303,Akshaya Nagar,1410,2.0,7500000,3
304,Akshaya Nagar,1360,2.0,8500000,3
306,Akshaya Nagar,1410,2.0,8000000,3
307,Akshaya Nagar,1662,3.0,8500000,3
308,Akshaya Nagar,1662,3.0,8550000,3
309,Akshaya Nagar,1280,2.0,6000000,2
310,Akshaya Nagar,1666,3.0,9500000,3
311,Akshaya Nagar,1575,3.0,9000000,3
312,Akshaya Nagar,1430,2.0,7500000,3
313,Akshaya Nagar,1419,2.0,7300000,3
314,Akshaya Nagar,1280,2.0,6000000,2
315,Akshaya Nagar,1200,2.0,5000000,2
316,Akshaya Nagar,1092,2.0,6000000,2
317,Akshaya Nagar,1690,3.0,8500000,3
319,Akshaya Nagar,1897,4.0,9300000,3
320,Akshaya Nagar,1884,3.0,9800000,3
321,Akshaya Nagar,1314,2.0,6880000,2
322,Akshaya Nagar,1690,3.0,8500000,3
323,Akshaya Nagar,1265,2.0,6700000,2
324,Akshaya Nagar,1126,2.0,5500000,2
326,Akshaya Nagar,1662,3.0,9000000,3
327,Akshaya Nagar,1420,2.0,7500000,3
328,Akshaya Nagar,1412,2.0,8800000,3
329,Akshaya Nagar,1434,3.0,8400000,3
330,Akshaya Nagar,1890,4.0,10000000,3
331,Akshaya Nagar,1419,2.0,8700000,3
332,Akshaya Nagar,1300,2.0,5400000,2
333,Akshaya Nagar,1690,3.0,8500000,3
334,Akshaya Nagar,1113,2.0,5200000,2
335,Akshaya Nagar,1820,4.0,9500000,3
336,Akshaya Nagar,1100,2.0,4800000,2
337,Akshaya Nagar,1896,3.0,10200000,3
338,Akshaya Nagar,1300,2.0,6600000,2
339,Akshaya Nagar,1225,2.0,6800000,2
340,Akshaya Nagar,1179,2.0,5100000,2
341,Akshaya Nagar,1421,2.0,7300000,3
342,Akshaya Nagar,1893,4.0,9500000,3
343,Akshaya Nagar,900,2.0,4500000,2
344,Ambalipura,1105,2.0,7500000,2
345,Ambalipura,1800,3.0,11000000,3
346,Ambalipura,1150,2.0,8000000,2
347,Ambalipura,1250,2.0,6625000,2
348,Ambalipura,1332,2.0,7900000,2
349,Ambalipura,1730,3.0,12000000,3
350,Ambalipura,1230,2.0,6625000,2
351,Ambalipura,1351,2.0,7700000,2
355,Ambalipura,1303,2.0,8000000,2
356,Ambalipura,1607,2.0,11200000,3
357,Ambalipura,770,1.0,4382000,1
358,Ambalipura,1700,2.0,7600000,2
359,Ambalipura,1060,2.0,5850000,2
360,Ambalipura,1650,3.0,10000000,3
361,Ambalipura,1607,2.0,11200000,3
362,Ambalipura,1198,2.0,8000000,2
363,Ambedkar Nagar,1935,4.0,13000000,3
364,Ambedkar Nagar,1424,2.0,9000000,2
365,Ambedkar Nagar,2225,4.0,16900000,3
366,Ambedkar Nagar,1862,3.0,12000000,3
367,Ambedkar Nagar,1850,4.0,13900000,3
368,Ambedkar Nagar,1936,4.0,12600000,3
369,Ambedkar Nagar,1862,3.0,11900000,3
370,Ambedkar Nagar,1424,2.0,9000000,2
371,Ambedkar Nagar,2150,4.0,12500000,3
372,Ambedkar Nagar,3530,4.0,29000000,4
373,Ambedkar Nagar,1856,3.0,12000000,3
374,Ambedkar Nagar,1852,3.0,13000000,3
375,Ambedkar Nagar,1850,4.0,12000000,3
376,Ambedkar Nagar,1367,2.0,8600000,2
377,Ambedkar Nagar,3565,4.0,25500000,4
378,Ambedkar Nagar,1409,2.0,9500000,2
379,Ambedkar Nagar,1950,4.0,12000000,3
380,Ambedkar Nagar,1921,4.0,12900000,3
381,Ambedkar Nagar,1920,4.0,12100000,3
382,Ambedkar Nagar,1935,4.0,12500000,3
383,Ambedkar Nagar,1852,4.0,12200000,3
384,Ambedkar Nagar,1950,4.0,12000000,3
385,Ambedkar Nagar,1852,3.0,12500000,3
386,Ambedkar Nagar,1850,4.0,12100000,3
387,Ambedkar Nagar,1425,2.0,9400000,2
388,Ambedkar Nagar,2395,4.0,15000000,3
389,Amruthahalli,900,2.0,4000000,2
390,Amruthahalli,1200,2.0,5500000,2
391,Amruthahalli,1900,3.0,13500000,3
392,Amruthahalli,924,2.0,4500000,2
393,Amruthahalli,900,2.0,6000000,2
394,Amruthahalli,1100,2.0,4500000,2
395,Amruthahalli,1200,2.0,5500000,2
399,Amruthahalli,1450,2.0,8500000,3
400,Amruthahalli,1200,2.0,5500000,2
401,Amruthahalli,1250,2.0,7900000,2
402,Amruthahalli,1190,2.0,5000000,2
403,Amruthahalli,1202,2.0,6500000,2
404,Amruthahalli,1340,2.0,7500000,2
405,Amruthahalli,1450,2.0,9000000,3
406,Amruthahalli,1025,2.0,4200000,2
407,Amruthahalli,485,1.0,1950000,1
408,Anandapura,1167,2.0,4376000,2
409,Anandapura,1000,2.0,5500000,2
410,Anandapura,1141,2.0,4279000,2
412,Anandapura,1200,2.0,6700000,2
413,Anandapura,1200,2.0,5800000,2
414,Anandapura,1151,2.0,4310000,2
415,Anandapura,1141,2.0,4275000,2
416,Anandapura,900,2.0,4800000,2
417,Anandapura,1749,4.0,9000000,4
418,Anandapura,1151,2.0,4290000,2
420,Anandapura,1250,2.0,4500000,2
421,Anandapura,1151,2.0,4316000,2
422,Anandapura,1200,2.0,5800000,2
423,Anandapura,1200,2.0,6600000,3
424,Anandapura,1415,2.0,7400000,3
425,Anandapura,1200,2.0,5000000,2
426,Anandapura,1141,2.0,5000000,2
428,Ananth Nagar,500,1.0,1400000,1
429,Ananth Nagar,1100,2.0,3150000,2
430,Ananth Nagar,982,2.0,2455000,2
431,Ananth Nagar,500,2.0,1400000,1
432,Ananth Nagar,900,2.0,2250000,2
433,Ananth Nagar,908,2.0,2600000,2
434,Ananth Nagar,870,2.0,3600000,2
435,Ananth Nagar,937,2.0,3500000,2
436,Ananth Nagar,960,2.0,3700000,2
437,Ananth Nagar,500,1.0,1400000,1
438,Ananth Nagar,1000,2.0,2970000,2
439,Ananth Nagar,850,2.0,2599000,2
440,Ananth Nagar,902,2.0,2526000,2
441,Ananth Nagar,1470,3.0,5400000,3
442,Ananth Nagar,810,2.0,2550000,2
443,Ananth Nagar,890,2.0,2700000,2
444,Ananth Nagar,1200,2.0,3600000,2
446,Ananth Nagar,1319,3.0,4200000,3
447,Ananth Nagar,1000,2.0,2500000,2
448,Ananth Nagar,902,2.0,2500000,2
449,Ananth Nagar,930,2.0,2599000,2
450,Ananth Nagar,1074,2.0,2685000,2
451,Ananth Nagar,500,1.0,1400000,1
452,Ananth Nagar,1010,2.0,3800000,2
453,Ananth Nagar,992,2.0,2480000,2
455,Anekal,656,2.0,2200000,2
456,Anekal,620,2.0,2200000,2
457,Anekal,600,1.0,1650000,1
458,Anekal,925,2.0,4000000,2
459,Anekal,530,1.0,1800000,1
460,Anekal,1800,3.0,6800000,3
462,Anekal,351,1.0,1600000,1
463,Anekal,1035,2.0,3829999,2
464,Anekal,888,2.0,3400000,2
468,Anekal,1200,2.0,3600000,4
469,Anekal,766,2.0,2800000,2
470,Anekal,967,2.0,4500000,3
471,Anekal,620,1.0,2350000,2
472,Anekal,1150,3.0,4500000,3
475,Anekal,400,1.0,1150000,1
476,Anekal,456,1.0,1500000,1
479,Anekal,2400,4.0,9500000,3
483,Anekal,420,1.0,1250000,1
484,Anekal,614,1.0,2800000,2
485,Anekal,1140,2.0,5200000,2
486,Anekal,625,1.0,2500000,2
487,Anjanapura,1850,4.0,8600000,4
488,Anjanapura,1070,2.0,3900000,2
489,Anjanapura,1500,3.0,12100000,3
490,Anjanapura,1070,2.0,3700000,2
491,Anjanapura,950,2.0,4000000,2
492,Anjanapura,1280,2.0,4500000,3
493,Anjanapura,710,2.0,2500000,2
495,Anjanapura,950,2.0,3200000,2
496,Anjanapura,1800,4.0,5500000,4
497,Anjanapura,1843,3.0,8754000,3
498,Anjanapura,1076,2.0,3013000,2
499,Anjanapura,950,2.0,3000000,2
500,Ardendale,1750,3.0,10000000,3
501,Ardendale,3198,4.0,20000000,4
502,Ardendale,2422,4.0,16000000,4
503,Ardendale,1750,3.0,10000000,3
504,Ardendale,3200,4.0,20500000,4
505,Ardendale,1728,3.0,9500000,3
506,Ardendale,2062,3.0,14000000,4
507,Ardendale,1732,3.0,9200000,3
508,Ardendale,2062,3.0,15000000,4
510,Ardendale,1224,2.0,7000000,2
511,Ardendale,1777,3.0,10500000,3
512,Ardendale,1650,3.0,8200000,3
513,Ardendale,2062,3.0,14000000,4
514,Ardendale,1650,3.0,8200000,3
515,Ardendale,1224,2.0,6700000,2
516,Ardendale,1723,3.0,9500000,3
517,Ardendale,1777,3.0,8900000,3
518,Ardendale,1777,3.0,9200000,3
519,Arekere,2060,3.0,14000000,3
520,Arekere,4125,9.0,26500000,9
521,Arekere,1740,2.0,9500000,3
522,Arekere,1190,2.0,5500000,2
523,Arekere,600,1.0,2800000,1
524,Arekere,2072,3.0,10800000,3
525,Arekere,1100,2.0,5500000,2
526,Arekere,900,2.0,5000000,2
527,Arekere,2710,6.0,14200000,4
528,Arekere,1240,2.0,6000000,2
529,Arekere,900,2.0,4450000,2
530,Attibele,450,1.0,1100000,1
531,Attibele,1600,4.0,5280000,4
532,Attibele,656,2.0,2500000,2
533,Attibele,400,1.0,1100000,1
534,Attibele,400,1.0,1200000,1
535,Attibele,400,1.0,1400000,1
536,Attibele,500,1.0,1700000,1
537,Attibele,2168,4.0,9500000,4
538,Attibele,395,1.0,1025000,1
539,Attibele,420,1.0,1700000,1
541,Attibele,418,1.0,1200000,1
542,Attibele,1200,2.0,4200000,2
543,Attibele,400,1.0,1000000,1
544,Attibele,695,1.0,2500000,2
545,Attibele,850,1.0,2500000,2
546,Attibele,450,1.0,1250000,1
550,Attibele,782,1.0,1955000,1
552,Attibele,656,2.0,2500000,2
553,Attibele,400,1.0,1150000,1
554,Attibele,460,1.0,1300000,1
555,Attibele,418,2.0,1150000,1
556,Attibele,1000,2.0,4200000,2
557,Attibele,550,1.0,1150000,1
559,Attibele,410,1.0,1000000,1
560,Attibele,1700,3.0,6500000,3
561,Attibele,400,1.0,1025000,1
562,Attibele,656,2.0,2500000,2
563,Attibele,1500,3.0,9000000,3
564,Attibele,520,1.0,1500000,1
565,BEML Layout,1060,2.0,5500000,2
567,BEML Layout,999,2.0,4500000,2
568,BEML Layout,2400,4.0,22500000,5
570,BEML Layout,1194,2.0,6500000,2
571,BEML Layout,1200,2.0,6700000,2
572,BEML Layout,2400,2.0,22800000,2
575,BEML Layout,1194,2.0,6500000,2
576,BTM 1st Stage,3300,14.0,50000000,9
577,BTM 1st Stage,375,1.0,4000000,1
578,BTM 1st Stage,1717,3.0,20000000,3
579,BTM 2nd Stage,1260,5.0,18500000,3
580,BTM 2nd Stage,950,2.0,5200000,2
581,BTM 2nd Stage,1850,3.0,17000000,3
582,BTM 2nd Stage,1200,2.0,8000000,2
583,BTM 2nd Stage,1274,2.0,7000000,2
585,BTM 2nd Stage,1070,2.0,4800000,2
586,BTM 2nd Stage,1280,2.0,8000000,2
587,BTM 2nd Stage,1100,2.0,7000000,2
588,BTM 2nd Stage,1000,2.0,5800000,2
589,BTM 2nd Stage,2990,5.0,41600000,5
590,BTM 2nd Stage,1265,2.0,5500000,2
591,BTM 2nd Stage,2200,3.0,22000000,3
592,BTM 2nd Stage,2780,4.0,32500000,3
593,BTM 2nd Stage,2400,2.0,36000000,3
594,BTM 2nd Stage,965,2.0,5600000,2
595,BTM 2nd Stage,1147,2.0,7500000,2
596,BTM 2nd Stage,1750,3.0,17200000,3
597,BTM 2nd Stage,1400,2.0,9000000,2
598,BTM 2nd Stage,1200,2.0,7000000,2
599,BTM 2nd Stage,1100,2.0,4700000,2
600,BTM 2nd Stage,930,2.0,4600000,2
602,BTM 2nd Stage,2500,3.0,34500000,3
603,BTM Layout,1150,2.0,6300000,2
604,BTM Layout,3300,6.0,16500000,6
605,BTM Layout,1450,2.0,8100000,3
606,BTM Layout,1776,2.0,7500000,3
607,BTM Layout,1458,3.0,7900000,3
608,BTM Layout,935,2.0,5150000,2
609,BTM Layout,1020,2.0,4650000,2
610,BTM Layout,1600,3.0,11200000,3
611,BTM Layout,1300,2.0,7500000,3
612,BTM Layout,1540,2.0,7800000,3
613,BTM Layout,450,1.0,2000000,1
614,BTM Layout,1196,2.0,5681000,2
615,BTM Layout,1470,2.0,9900000,3
618,Babusapalaya,1611,2.0,6600000,3
620,Babusapalaya,1675,3.0,7500000,3
621,Babusapalaya,1141,2.0,4600000,2
622,Babusapalaya,1500,2.0,5700000,2
624,Babusapalaya,1050,2.0,4500000,2
625,Babusapalaya,1141,2.0,4590000,2
627,Babusapalaya,1230,3.0,5300000,3
628,Babusapalaya,1105,2.0,4000000,2
629,Babusapalaya,1410,2.0,6500000,3
630,Babusapalaya,1450,2.0,5599000,2
631,Babusapalaya,1100,2.0,3800000,2
633,Babusapalaya,1061,2.0,3384000,2
634,Babusapalaya,1061,2.0,3895000,2
635,Babusapalaya,1061,2.0,3400000,2
636,Babusapalaya,1245,2.0,5800000,2
637,Badavala Nagar,1494,2.0,9455000,3
638,Badavala Nagar,1274,2.0,8100000,2
639,Badavala Nagar,1842,3.0,11500000,3
640,Badavala Nagar,1494,2.0,9455000,3
641,Badavala Nagar,1274,2.0,8100000,2
642,Badavala Nagar,1494,2.0,9455000,3
643,Badavala Nagar,1842,3.0,11500000,3
644,Badavala Nagar,1842,3.0,11500000,3
645,Badavala Nagar,1842,3.0,11500000,3
646,Balagere,1210,2.0,8090000,2
648,Balagere,1205,2.0,7850000,2
649,Balagere,645,1.0,4190000,1
652,Balagere,1020,2.0,6838000,2
653,Balagere,1205,2.0,8100000,2
654,Balagere,1007,2.0,6500000,2
657,Balagere,1210,2.0,8300000,2
658,Balagere,675,1.0,4500000,1
659,Balagere,656,1.0,4300000,1
661,Balagere,1012,2.0,6400000,2
662,Balagere,1007,2.0,6200000,2
663,Balagere,1007,2.0,6700000,2
664,Balagere,1007,2.0,6600000,2
667,Balagere,645,1.0,3418000,1
670,Balagere,645,1.0,4229500,1
671,Balagere,1012,2.0,6500000,2
